id;rooms;latlong;floors;area;description;freeOfCharge;imageUrl;createAt;sellerId;sellerName;sellerPhone;categoryId;categoryName
58;1;47.4840485803319,18.9946419487702;0;45;;1;https://drive.google.com/file/d/1swKq40hxXuUHgoliyFACANGoHmtBvVIt;2021-11-03;3;Veg Eta;+36 1 8434-6191;1;ház
59;5;47.4850485803319,19.0206419487702;1;185;;1;https://drive.google.com/file/d/1swKq40hxXuUHgoliyFACANGoHmtBvVIt;2021-10-09;222;Tóth Zsuzsa;+36 1 3720-8653;1;ház
60;5;47.3930485803319,19.0836419487702;3;140;;1;https://drive.google.com/file/d/1rgvC9WGdtVcp-sJH-DJbp7HV_33c-X7U;2021-11-12;60;Dalos Ákos Mihály;+36 1 9950-1575;1;ház
61;3;47.4010485803319,19.0996419487702;0;100;;1;https://drive.google.com/file/d/1sP08aDIxy2VOkzyLIQeOopGANtSY1ywM;2021-12-12;203;Papp Beáta;+36 1 1382-1376;1;ház
63;5;47.5760485803319,19.0276419487702;0;160;;1;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-;2021-12-14;50;Maár Tamás;+36 1 7606-9208;1;ház
66;5;47.5270485803319,19.1286419487702;3;145;;1;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY;2021-11-25;143;Lizák Gerhard;+36 1 3227-3795;1;ház
67;5;47.4820485803319,19.1526419487702;0;145;;1;https://drive.google.com/file/d/1rqxx7t4OdVFJ5th8b23TWKW62NZzSc9f;2022-02-25;92;Gáti Orsolya;+36 1 3378-6077;1;ház
69;5;47.5760485803319,19.0926419487702;4;160;;1;https://drive.google.com/file/d/1sUkVjCwzMkqKEDrVivtbFTJ0AE6eW-7Z;2021-11-20;102;Szûcs Nikolett;+36 1 5433-2908;1;ház
70;4;47.4860485803319,19.1556419487702;3;105;;1;https://drive.google.com/file/d/1rbBxI6RDTO6JWAO_c1gu8r8NE1aVoHCs;2021-10-30;204;Ösztön Ödön;+36 1 3078-1467;1;ház
9;5;47.5430485803319,19.1646419487702;2;165;;1;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk;2022-02-09;168;Resz Elek;+36 1 1399-2527;2;lakás
31;3;47.4890485803319,19.0326419487702;1;85;;1;https://drive.google.com/file/d/1slR5WaRshT0uAx2jyvXOj-JshuFACGSi;2021-11-11;345;Aloe Vera;+36 1 5072-4171;2;lakás
36;5;47.5810485803319,19.1796419487702;4;175;;1;https://drive.google.com/file/d/1qc74gm94OAzCf8SlGit-B157YL8sKEH0;2021-10-14;156;Béres Tamás;+36 1 1818-4840;2;lakás
62;4;47.5370485803319,19.1796419487702;2;110;;1;https://drive.google.com/file/d/1qxYVWfF2lYDK070FBGvr44BXPZQmtz3d;2021-12-16;221;Vágó Péter Ákos;+36 1 4643-1788;2;lakás
68;5;47.5430485803319,19.1536419487702;2;190;;0;https://drive.google.com/file/d/1rG7cVUhJxLq6GKgP9KFKLabGH2obu5b5;2021-10-07;173;Pár Zoltán;+36 1 3798-6794;2;lakás
71;2;47.4050485803319,19.0356419487702;1;60;;1;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY;2022-01-05;23;Fogd Bea;+36 1 4725-2442;2;lakás
7;5;47.5390485803319,19.0136419487702;0;230;;1;https://drive.google.com/file/d/1qujuTrxsUNZ7z0Y9fobfUhgHGCwyggo8;2022-02-20;281;Dancs Dániel;+36 1 2541-3669;3;építési telek
15;2;47.5220485803319,19.1416419487702;4;60;;1;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk;2021-10-28;373;Bõrönd Ödön;+36 1 2709-2407;3;építési telek
45;5;47.5440485803319,19.0476419487702;1;145;;1;https://drive.google.com/file/d/1rNXGW2H7LG2RFcEOfIpyTP9_lFVV1NZ2;2022-01-17;9;Rontó Pál;+36 1 5941-3954;3;építési telek
65;5;47.4260485803319,19.0846419487702;2;180;;1;https://drive.google.com/file/d/1rqxx7t4OdVFJ5th8b23TWKW62NZzSc9f;2021-12-23;183;Korpusz Ilma;+36 1 6751-6005;3;építési telek
4;5;47.5600485803319,19.0686419487702;1;135;;1;https://drive.google.com/file/d/1she2wd47cp-DPolEjDksz4tkNwT0hova;2021-10-31;238;Kolle Gina;+36 1 9907-6155;4;garázs
5;5;47.4350485803319,19.1076419487702;1;135;;1;https://drive.google.com/file/d/1r9JPKeAX6BQ7fF-0fHrNqsTrr8D9JPEw;2021-12-29;40;Róka Gábor;+36 1 2729-9902;4;garázs
8;5;47.5340485803319,19.0216419487702;0;185;;1;https://drive.google.com/file/d/1suSusCdzSM4qKinfhEYdAV0cUw64oefz;2021-12-07;124;Amor Ella;+36 1 6978-7676;4;garázs
10;5;47.4100485803319,18.9876419487702;1;205;;1;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5;2021-10-13;346;Vagd Alma;+36 1 7446-5220;4;garázs
12;5;47.5010485803319,19.0936419487702;0;195;;1;https://drive.google.com/file/d/1sVT8P2AqtfmroUv5Y0oRGPMKeUiCO3UO;2021-10-19;222;Tóth Zsuzsa;+36 1 3720-8653;4;garázs
13;5;47.4770485803319,18.9996419487702;2;180;;1;https://drive.google.com/file/d/1qh0nIM1Gn0zrO6Wkmf7iYxcYKKKPZszZ;2021-10-11;374;Bac Ilus;+36 1 1301-2730;4;garázs
21;4;47.5670485803319,19.1376419487702;3;80;;1;https://drive.google.com/file/d/1rYClD3Gx9y3YUkdh0rPEcRhYzku7C8Da;2021-12-12;308;Egyenes Ági;+36 1 1780-7112;4;garázs
26;4;47.4880485803319,18.9906419487702;1;120;;1;https://drive.google.com/file/d/1qc74gm94OAzCf8SlGit-B157YL8sKEH0;2021-12-12;144;Lev Elek;+36 1 2451-9808;4;garázs
32;3;47.5170485803319,19.1596419487702;3;85;;1;https://drive.google.com/file/d/1qv3b7t3yLkV9HF5TzbyY_-MKaft83bAB;2021-11-27;317;Török Szilárd;+36 1 3603-9947;4;garázs
35;5;47.5390485803319,18.9916419487702;1;150;;1;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi;2022-02-25;103;Szolnoki Anna;+36 1 4163-7869;4;garázs
37;5;47.5750485803319,19.1116419487702;0;180;;1;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY;2021-11-01;178;Mursa Krisztián;+36 1 4450-7684;4;garázs
43;5;47.5330485803319,19.0036419487702;0;225;;1;https://drive.google.com/file/d/1qujuTrxsUNZ7z0Y9fobfUhgHGCwyggo8;2021-11-14;313;Ádám Ákos Lajos;+36 1 9163-7120;4;garázs
44;5;47.4640485803319,19.1346419487702;3;165;;1;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-;2021-11-16;320;Potornai Judit Adrienn;+36 1 2827-9828;4;garázs
49;5;47.5440485803319,19.1476419487702;4;220;;1;https://drive.google.com/file/d/1qro_stZpSbux9oLeFT6xh8qF5m0cPmSS;2022-01-04;14;Nagy Adrienn;+36 1 9912-8987;4;garázs
50;5;47.4740485803319,19.0256419487702;2;140;;1;https://drive.google.com/file/d/1rfIBFPxBf_TgWERMh-OqVmpFnDxpo6rn;2022-01-10;54;Hegedûs Adrienn;+36 1 6078-6520;4;garázs
53;5;47.4830485803319,19.1246419487702;4;175;;1;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-;2021-10-01;236;Mod Emma;+36 1 1239-2839;4;garázs
64;5;47.4350485803319,19.1736419487702;2;110;;1;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn;2022-02-11;231;Pataki Bálint;+36 1 9998-4893;4;garázs
14;5;47.4860485803319,19.0306419487702;4;135;;1;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi;2022-01-29;271;Huczman Gergely;+36 1 2819-2249;5;mezőgazdasági terület
29;5;47.4310485803319,19.0226419487702;4;120;;1;https://drive.google.com/file/d/1rjna1tKJSuawRjq_8oMDl_BMe-VZ1RGp;2021-11-24;254;Trab Antal;+36 1 8970-1364;6;ipari ingatlan
